Company name,Symbol
SECURITAS AB SER`B`NPV,0IAH
ZON MULTIMEDIA SERVICIOS EUR0.01,0IAW
DASSAULT AVIATION EUR8,0IAX
ARKEMA EUR10,0IB0
ANDRE TRIGANO EUR4,0IB6
EUROPACORP EUR0.34,0IB7
ALES GROUPE EUR2,0IB8
MEINL EUROPEAN LAND EUR5(AUST CERT),0IBN
CELL THERAPEUTICS INC COM STK NPV,0ICP
ST MICROELECTRONICS EUR1.04,0ICR
ORGASYNTH EUR2,0ICU
PIXELPARK AG NPV,0IDA
DOCKWISE LTD USD0,0IDU
MOLMED SPA NPV,0IE3
SEMAPA SOC INVEST E GESTAO SGPS EUR1,0IE9
SONAE CAPITAL SGPS SA EUR1,0IEF
POL-AQUA S.A. PLN1,0IFM
PETROLINVEST S.A. PLN10,0IFR
ORIOLA-KD CORPORATION SER`B`NPV,0IGA
NEXANS EUR1,0IGF
KOMERCNI BANKA CZK500,0IH3
CELL THERAPEUTICS INC COM STK NPV,0IH4
NATIXIS EUR1.6 (POST SUBDV),0IHK
ATRIUM LJUNGBERG SER`B`NPV (POST SPLIT),0IHM
AMG ADVANCED METALLURGICAL GROUP N. EUR0.02,0IHP
MOMINA KREPOST JSC BGN1,0IHV
TIETOENATOR OYJ ORD NPV,0IHZ
KONE OYJ NPV ORD `B`,0II2
GREENERGYCAPITAL SPA NPV,0II4
PARIS RE HLDGS LTD CHF9.72,0IID
VIVENDI EUR5.5,0IIF
PPR EUR4,0IIH
BALKANKAR REKORD AD BGN1,0IIM
MEINL EUROPEAN LAND EUR5(AUST CERT),0IJO
ALITA LTL1,0IJV
ZENTIVA NV ORD EUR0.01,0IJW
NEOHIM AD BGN1,0IK2
KOMERCNI BANKA CZK500,0IKH
WARTSILA OYJ ABP EUR3.5,0IKJ
ST MICROELECTRONICS EUR1.04,0IKW
DEVIN AD DEVIN BGN1,0IL0
FLUIDRA SA EUR1,0ILI
LABORATORIOS FARMACEUTOCOS ROVI SA EUR0.06,0ILL
