Company name,Symbol
AUSTRALIAN UNITY OFFICE FUND,AOF
AUSTRALIAN VANADIUM LIMITED,AVL
AUSTRALIAN VINTAGE LTD,AVG
AUSTRALIAN WHISKY HOLDINGS LIMITED,AWY
AUSTRALIS OIL & GAS LIMITED,ATS
AUSTSINO RESOURCES GROUP LIMITED,ANS
AUSWIDE BANK LTD,ABA
AUTHORISED INVESTMENT FUND LIMITED,AIY
AUTOMOTIVE HOLDINGS GROUP LIMITED.,AHG
AUTOSPORTS GROUP LIMITED.,ASG
AVANCO RESOURCES LIMITED,AVB
AVENIRA LIMITED,AEV
AVENTUS RETAIL PROPERTY FUND,AVN
AVEO GROUP,AOG
AVIRA RESOURCES LTD,AVW
AVITA MEDICAL LTD,AVH
AVJENNINGS LIMITED,AVJ
AVZ MINERALS LIMITED,AVZ
AWATI RESOURCES LIMITED,AWA
AWE LIMITED,AWE
AXIOM MINING LIMITED,AVQ
AXIOM PROPERTIES LIMITED,AXI
AXSESSTODAY LIMITED,AXL
AXXIS TECHNOLOGY GROUP LTD,AYG
AZUMAH RESOURCES LIMITED,AZM
AZURE HEALTHCARE LIMITED,AZV
AZURE MINERALS LIMITED,AZS
BABY BUNTING GROUP LIMITED,BBN
BABYLON PUMP & POWER LIMITED,BPP
BAILADOR TECHNOLOGY INVESTMENTS LIMITED,BTI
BANK OF QUEENSLAND LIMITED.,BOQ
BANNERMAN RESOURCES LIMITED,BMN
BAPCOR LIMITED,BAP
BARAKA ENERGY & RESOURCES LIMITED,BKP
BARALABA COAL COMPANY LIMITED,BCL
BARD1 LIFE SCIENCES LIMITED,BD1
BARRA RESOURCES LIMITED,BAR
BARRACK ST INVESTMENTS LIMITED,BST
BASE RESOURCES LIMITED,BSE
BASS METALS LTD,BSM
BASS OIL LIMITED,BAS
BASSARI RESOURCES LIMITED,BSR
BATHURST RESOURCES LIMITED.,BRL
BATTERY MINERALS LIMITED,BAT
BAUMART HOLDINGS LIMITED,BMH
BAUXITE RESOURCES LIMITED,BAU
BBX MINERALS LIMITED,BBX
BCI MINERALS LIMITED,BCI
BEACH ENERGY LIMITED,BPT
BEACON LIGHTING GROUP LIMITED,BLX
BEACON MINERALS LIMITED,BCN
BEADELL RESOURCES LIMITED,BDR
BEGA CHEESE LIMITED,BGA
BELL FINANCIAL GROUP LIMITED,BFG
BELLAMY'S AUSTRALIA LIMITED,BAL
BENDIGO AND ADELAIDE BANK LIMITED,BEN
BENITEC BIOPHARMA LIMITED,BLT
BENJAMIN HORNIGOLD LIMITED,BHD
BENTLEY CAPITAL LIMITED,BEL
BERKELEY ENERGIA LIMITED,BKY
BERKUT MINERALS LIMITED,BMT
BESTON GLOBAL FOOD COMPANY LIMITED,BFC
