Company name,Symbol
www.camc.biz,600375
"Beijing Capital Development,Co.,Ltd",600376
Jiangsu Expressway Company Limited,600377
"SICHUAN TIANYI SCIENCE & TECHNOLOGY  CO., LTD.",600378
"Shaanxi Baoguang Vacuum Electronic Apparatus Co.,Ltd.",600379
"Joincare Pharmaceutical Group Industry Co.,Ltd.",600380
-,600381
http://www.gdmzh.com,600382
Gemdale Corporation,600383
"SHANDONG JINTAI GROUP CO., LTD",600385
"BEIJING BASHI MEDIA CO,.LTD",600386
"ZHEJIANG HAIYUE CO.,LTD",600387
"Fujian Longking Co.,LTD",600388
"Nantong Jiangshan Agrochemical & Chemicals Co., Ltd.",600389
MINMETALS CAPITAL COMPANY LIMITED,600390
"AECC AERO SCIENCE AND TECHNOLOGY CO.,LTD.",600391
Shenghe Resources Holding Co. Ltd,600392
"GUANGZHOU YUETAI GROUP CO.,LTD.",600393
"Guizhou Panjiang Refined Coal Co.,Ltd.",600395
"SHENYANG JINSHAN ENERGY CO., LTD",600396
ANYUAN COAL INDUSTRY GROUP CO.??LTD.,600397
"HEILAN HOME CO.,LTD",600398
"Fushun Special Steel Co.,LTD",600399
"Jiangsu Hongdou Industrial CO.,LTD",600400
www.hareonsolar.com,600401
"HENAN DAYOU ENERGY CO., LTD",600403
"Beijing Dynamic Power Co., Ltd",600405
www.naritech.cn,600406
"SHANXI ANTAI GROUP CO.,LTD.",600408
"Tangshan Sanyou Chemical Industries Co.,Ltd",600409
"Beijing Teamsun Technology Co.,Ltd",600410
"ZheJiang China Commodities City Group Co.,Ltd.",600415
"Xiangtan Electric Manufacturing Co., Ltd.",600416
"Anhui Jianghuai Automobile Group Corp.,Ltd",600418
"Xinjiang Tianrun Dairy Co., Ltd.",600419
"SHANGHAI SHYNDEC PHARMACEUTICAL  CO., LTD.",600420
"HUBEI YANGFANG  HOLDING CO.,LTD. ",600421
"KPC Pharmaceuticals, Inc.",600422
"Liuzhou Chemical Industry Co., LTD",600423
"XINJIANG QINGSONG BUILDING MATERIALS AND CHEMICALS (GROUP) CO., LTD.",600425
SHANDONG HUALU-HENGSHENG CHEMICAL CO.??LTD,600426
"COSCO SHIPPING Specialized Carriers Co., Ltd.",600428
"BEIJING SANYUAN FOODS CO.,LTD.",600429
"Guangdong Guanhao High-tech Co., Ltd",600433
"North Navigation Control Technology Co., Ltd.",600435
"ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL CO.,LTD.",600436
"TONGWEI CO.,LTD",600438
"HENAN REBECCA HAIR PRODUCTS CO., LTD",600439
"Sinomach General Machinery Science & Technology Co.,Ltd.",600444
"shenzhen kingdom technology CO.,LTD",600446
"HUAFANG CO.,LTD",600448
"NINGXIA BUILDING MATERIALS GROUP Co.,Ltd",600449
"CHONGQING FULING ELECTRIC POWER INDUSTRIAL CO.,LTD.",600452
"But'one Information Corporation, Xi'an",600455
"BAOJI TITANIUM INDUSTRY CO., LTD",600456
"ZHUZHOU TIMES NEW MATERIALS TECHNOLOGY CO.,LTD.",600458
"SINO-PLATINUM METALS CO.,LTD",600459
"Hangzhou Silan Microelectronics Co.,Ltd.",600460
"JIANGXI HONGCHENG WATERWORKS CO.,LTD.",600461
"Shenzhen Geoway Co.,Ltd",600462
"Beijing Airport High-Tech Park Co.,Ltd.",600463
"SICHUAN LANGUANG DEVELOPMENT CO., LTD.",600466
"SHANDONG  HOMEY  AQUATIC  DEVELOPMENT  CO.,LTD.",600467
www.benefo.tj.cn,600468
"AEOLUS TYRE CO.,LTD",600469
"Anhui Liuguo Chemical Co.,Ltd.",600470
"Wuxi Huaguang Boiler Co.,Ltd.",600475
"Hunan  Copote  Science&Technology  Co.,Ltd.",600476
"HANGXIAO STEEL STRUCTURE CO.,LTD",600477
HUNAN  CORUN  NEW  ENERGY  CO.??LTD.,600478
"ZhuZhou QianJin Pharmaceutical Co., Ltd.",600479
LINGYUN  INDUSTRIAL  CORPORATION  LIMITED,600480
"Shuangliang Eco-Energy Systems Co.,Ltd",600481
"China Shipbuilding Industry Group Power Co., Ltd.",600482
FUJIAN FUNENG CO.??LTD,600483
"Beijing Xinwei Technology Group Co., Ltd.",600485
"Jiangsu Yangnong Chemical Co.,Ltd.",600486
www.htgd.com.cn,600487
"Tianjin Tianyao Pharmaceutical Co., Ltd.",600488
www.zjgold.com,600489
"Pengxin International Mining Co.,Ltd",600490
www.lycg.com.cn,600491
fujian fynex textile science & technology co.??ltd.,600493
http://www.jinxiaxle.com.cn,600495
"changjiang & jinggong steel building (group) co.,ltd",600496
http://www.chxz.com,600497
"Fiberhome Telecommunication Technologies Co.,Ltd.",600498
"Keda Clean Energy Co., Ltd.",600499
SINOCHEM INTERNATIONAL CORPORATION,600500
http://www.aerosun.cn,600501
www.cahsl.com,600502
www.deluxe-family.com,600503
"Sichuan Xichang Electric Power Co.,Ltd",600505
"XIN JINAG KORLA PEAR CO.,LTD",600506
"FANGDA SPECIAL STEEL TECHNOLOGY CO., LTD",600507
"SHANGHAI DATUN ENERGY RESOURSES CO.,LTD.",600508
"XINJIANG TIANFU ENERGY CO.,LTD",600509
"BLACK PEONY (GROUP) CO., LTD.",600510
China National Medicines Corporation Ltd.,600511
www.tengdajs.com,600512
"Jiangsu Lianhuan Pharmaceutical Co., Ltd.",600513
"Hainan HNA Infrastructure Investment Group Co., LTD",600515
"FangDa Carbon New Material CO.,LTD",600516
www.zhixindianqi.com.cn,600517
"Kangmei Pharmaceutical Co., Ltd",600518
"KWEICHOW MOUTAI CO.,LTD.",600519
WenYi Trinity Technology Co.??Ltd,600520
"Zhejiang Huahai Pharmaceutical Co.,LTD.",600521
"JIANGSU ZHONGTIAN TECHNOLOGY CO.,LTD.",600522
"GUIZHOU GUIHANG AOTOMOTIVE COMPONENTS CO., LTD",600523
CHANGYUAN GROUP LTD.,600525
"ZHEJIANG FEIDA ENVIRONMENTAL SCIENCE &TECHNOLOGY CO.,LTD.",600526
"Jiangsu Jiangnan High Polymer Fiber CO.,Ltd",600527
China Railway Hi-tech Industry Corporation Limited,600528
"SHANDONG PHARMACEUTICAL GLASS CO.,LTD",600529
"SHANGHAI JIAODA ONLLY CO.,LTD",600530
HENAN YUGUANG GOLD&LEAD CO.??LTD,600531
"SHANGHAI HONGDA MINING CO.,LTD",600532
www.chixia.com,600533
"Tasly Pharmaceutica Group CO., LTD.",600535
CHINA NATIONAL SOFTWARE & SERVICE COMPANY LIMITED,600536
www.egingpv.com,600537
"Beihai Gofar Marine Biological Industry Co., Ltd.",600538
"Taiyuan Lionhead Cement Co.,Ltd.",600539
"XINJIANG SAYRAM MODERN AGRICULTURE CO.,LTD.",600540
"GANSU MOGAO INDUSTRIAL DEVELOPMENT CO.,LTD.",600543
"SAURER INTELLIGENT TECHNOLOGY CO., LTD.",600545
"Shanxi Coal International Energy Group Co.,LTD",600546
http://www.sdhjgf.com.cn,600547
"SHENZHEN EXPRESSWAY CO., LTD.",600548
XIAMEN TUNGSTEN CORP.,600549
http://www.twbb.com,600550
www.press-mart.com,600551
"TRIUMPH SCIENCE & TECHNOLOGY CO., LTD",600552
"HNA INNOVATION CO.,LTD.",600555
www.bsyy.com.cn,600556
"Jiangsu Kanion Pharmaceutical Co.,Ltd.",600557
http://www.weldatlantic.com,600558
HEBEI HENGSHUI LAOBAIGAN LIQUOR CO.??LTD.,600559
"Beijing AriTime Intelligent Control Co., Ltd.",600560
"Jiangxi Changyun Co., Ltd.",600561
GLARUN TECHNOLOGY CO????LTD??,600562
"Xiamen Faratronic Co.,LTD.",600563
"CHONGQING DIMA INDUSTRY CO.,LTD",600565
"HUBEI JUMPCAN PHARMACEUTICAL CO., LTD.",600566
"SHANYING INTERNATIONAL HOLDINGS CO.,LTD.",600567
"ZHONGZHU HEALTHCARE  HOLDING CO.,LTD",600568
http://www.aysteel.com.cn,600569
HUNDSUN TECHNOLOGIES INC.,600570
http://www.sunyard.com,600571
"ZHEJIANG CONBA PHARMACEUTICAL CO.,LTD.",600572
"FuJian YanJing HuiQuan Brewery Co.,Ltd",600573
http//:www.whpstc.com.cn,600575
"Zhejiang Sunriver Culture CO.,LTD",600576
"TONGLING JINGDA SPECIAL MAGNET WIRE CO.,LTD.",600577
"BEIJING JINGNENG POWER CO.,LTD.",600578
Qingdao  Tianhua  Institute  Of  Chemistry   Engineering  Company  Limited,600579
www.wolong.com.cn,600580
http://www.bygt.com.cn,600581
"Tiandi Science & Technology Co.,LTD",600582
"OFFSHORE OIL ENGINEERING CO., LTD.",600583
"Jiangsu Changjiang Electronics Technology Co., Ltd.",600584
www.conch.cn,600585
"Shandong Jinjing Science & Technology Co.,Ltd",600586
"SHINVA MEDICAL INSTRUMENT CO, LTD",600587
http://www.yonyou.com,600588
"GUANGDONG RONGTAI INDUSTRY CO.,LTD",600589
"TELLHOW SCI-TECH CO.,LTD.",600590
"FUJIAN LONGXI BEARING ??GROUP??CO.,LTD.",600592
"Dalian Sunaisa Tourism Holdings Co.,Ltd",600593
"GuiZhou YiBai Pharmaceutical Co., Ltd.",600594
"Henan Zhongfu Industry Co.,Ltd",600595
"ZHEJIANG XINAN CHEMICAL INDUSTRIAL GROUP CO.,LTD",600596
"BRIGHT DAIRY & FOOD CO.,LTD",600597
heilongjiang agriclture company limited,600598
"PANDA FINANCIAL HOLDING CORP., LTD.",600599
TSINGTAO BREWERY COMPANY LIMITED,600600
"FOUNDER TECHNOLOGY GROUP CO., LTD.",600601
INESA Intelligent Tech Inc.,600602
www.chinaghwl.com,600603
"SHANGHAI SHIBEI HI-TECH CO.,LTD.",600604
"SHANGHAI HUITONG ENERGY CO.,LTD.",600605
Greenland Holdings Corporation Limited,600606
"SHANGHAI BROADBAND TECHNOLOGY CO.,LTD.",600608
SHENYANG JINBEI AUTOMOTIVE COMPANY LIMTED,600609
http://www.600610.com.cn,600610
"DAZHONG TRANSPORTATION??GROUP??CO.,LTD.",600611
http://www.chinafirstpencil.com/,600612
"Shanghai Shenqi Pharmaceutical Investment Management Co., Ltd.",600613
"PENGQI TECHNOLOGY DEVELOPMENT  CO.,LTD",600614
"SHANGHAI FENGHWA GROUP CO.,LTD",600615
SHANGHAI JINFENG WINE COMPANY LIMITED,600616
SHANXI GUOXIN ENERGY CORPORATION LIMITED,600617
"SHANGHAI CHLOR-ALKALI CHEMICAL CO.,LTD.",600618
"SHANGHAI HIGHLY(GROUP) CO.,LTD.",600619
"SHANGHAI TIANCHEN CO.,LTD.",600620
"SHANGHAI CHINAFORTUNE CO., LTD",600621
"Everbright Jiabao Co.,Ltd",600622
SHANGHAI HUAYI GROUP CORPORATION  LTD.,600623
"SHANGHAI FUDAN  FORWARD S&T CO., LTD",600624
"Shanghai Shenda Co.,Ltd.",600626
http://www.newworld-china.com,600628
Arcplus Group PLC,600629
SHANGHAI DRAGON CORPORATION,600630
"Zhejiang Daily Digital Culture Group Co.,Ltd.",600633
"SHANGHAI FUKONG INTERACTIVE ENTERTAINMENT C0.,LTD",600634
"Shanghai DaZhong Public Utilities (Group) Co.,Ltd",600635
SHANGHAI 3F NEW MATERIALS COMPANY LIMITED,600636
www.opg.cn,600637
"SHANGHAI NEW HUANG PU REAL ESTATE CO.,LTD.",600638
"Shanghai Jinqiao Export Processing Zone Development Co.,Ltd.",600639
"Besttone Holding co.,Ltd.",600640
"SHANGHAI WANYE ENTERPRISES CO.,LTD.",600641
SHENERGY COMPANY LIMITED,600642
